#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
DJI_0158.jpg,27.75966525196587,-15.32470131991431,31.15651767887175,-44.67874039410382,34.9257882934379,-9.647491535440639e-002,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0159.jpg,27.75206652915128,-15.28514116164297,31.15096940658987,-44.1856182746291,64.50841194797991,0.2887739332351937,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0160.jpg,27.68995711792136,-15.27211999846622,31.11079422105104,-43.99536024791143,72.78737758904428,0.5486881271132164,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0161.jpg,36.62116386169098,-7.473227620590478,31.11599333584309,-78.06632483347153,42.30834562488241,-0.4334697104240055,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0162.jpg,37.23090516545573,-6.235196674708277,31.13641603849828,-80.76133707293742,52.63588278958868,-0.3800157838007845,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0163.jpg,37.25352864390346,-6.154633590485901,31.16719652153552,-80.61644385593165,62.45014900531604,-0.3380412990662909,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0164.jpg,37.16066796523112,-6.123802597168833,31.16985876765102,-80.44110102750119,72.38474676695806,-0.1406440249945412,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0165.jpg,39.27357296674974,3.065445764921606,31.18979062885046,-94.46248735830537,54.89268336404988,-0.3365572748469827,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0166.jpg,39.27852808480382,3.064050130080432,31.1626065550372,-95.91310196095623,45.66542478325103,-0.3339451949212164,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0167.jpg,39.33757966227292,3.103914196603,31.11784667894244,-96.18088059959379,32.60706075321964,-0.401326514218024,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0168.jpg,39.33628583169325,3.063475766219199,31.10607773624361,-95.77471554255283,72.13063366988862,-0.1533970863780044,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0169.jpg,39.31442627154495,3.168076063506305,31.10730110574514,-96.25503259869761,61.05610118467354,-0.3115779162603217,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0170.jpg,39.31336175214743,3.172168620396405,31.10557521600276,-95.78398265758946,73.9685281735166,-0.229620019276748,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0171.jpg,39.06058676121257,11.63108540326357,31.16656590159982,-107.1425960742491,73.99580761823364,-0.8367672844020022,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0172.jpg,39.06247465917008,11.61570803727955,31.14922142121941,-108.5293995514977,57.76385895747274,-0.7898986947063061,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0173.jpg,39.15497005590363,11.62656858516857,31.13483857177198,-108.8306036543051,44.16072061937232,-0.7041552592512638,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0174.jpg,39.14682595989493,11.6106290826574,31.12270789220929,-108.5249036202311,50.88140292418626,-0.5152154003622166,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0175.jpg,39.04722153719938,11.57075495179743,31.14558399934322,-108.3700276153885,41.80485945587087,-0.5258370792920324,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0176.jpg,31.41452012961561,19.00602287985384,31.71701986622065,-133.6440962524895,41.9100432206977,-0.5331024181435403,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
DJI_0177.jpg,31.36866502609384,19.04156739870086,31.71611506026238,-137.1816017322358,59.46901708733061,-0.4565666871894493,24.28642305581734,-4.222945704235492e-003,-2.673859358181004e-003,-1.506957935781515e-002,8.289196481844555e-007,8.402515498869877e-003,0,-2.529045385685813e-003,-1.454014489626831e-003
